CITY,SCELL,NCELL,PrC2I9,C2I_Mean,std,SampleCount,WeightedC2I
三门峡,124683-2,259654-0,71,5.49,6.2,292,20732
三门峡,124683-2,15290-129,70,6.28,5.16,77659,5436130
三门峡,124683-2,7202-128,70,5.68,6.21,1260,88200
三门峡,124683-2,124673-0,67,6.25,6.33,222,14874
三门峡,124683-2,253789-1,65,8.12,2.23,68,4420
三门峡,124683-2,124711-2,63,7.4,5,3054,192402
三门峡,124683-2,259655-1,63,6.33,8,108,6804
三门峡,124683-2,15476-128,61,7.25,6.11,9045,551745
三门峡,124683-2,253789-2,60,7.5,6.14,3332,199920
三门峡,124683-2,253819-1,57,7.89,6.61,10476,597132
三门峡,124683-2,15310-128,56,7.67,8.33,72,4032
三门峡,124683-2,253917-2,55,8.18,6.59,7003,385165
三门峡,124683-2,15583-129,55,8.12,7.36,372,20460
三门峡,124683-2,124683-0,50,8.96,6.89,336,16800
三门峡,124683-2,253812-2,49,9.04,2.52,90,4410
三门峡,124683-2,124677-0,49,9.05,3.75,228,11172
三门峡,124683-2,253932-1,47,9.17,2.03,116,5452
三门峡,124683-2,47440-1,46,9.76,6.73,30448,1400608
三门峡,124683-2,15513-128,44,10.12,7.88,1832,80608
三门峡,124683-2,5681-129,42,10.44,6.78,556,23352
三门峡,124683-2,253815-1,42,9.41,1.93,64,2688
三门峡,124683-2,15121-128,42,10.2,6.16,246,10332
三门峡,124683-2,253808-2,42,9.65,3.17,102,4284
三门峡,124683-2,15298-130,40,9.5,2.04,96,3840
三门峡,124683-2,124683-1,40,10.4,5.35,66868,2674720
三门峡,124683-2,259782-0,34,10.42,3.39,52,1768
三门峡,124683-2,5681-128,29,12.43,6.24,130,3770
三门峡,124683-2,15295-130,24,13.04,5.69,258,6192
三门峡,124683-2,253926-0,17,12.15,3.32,364,6188
三门峡,124683-2,253940-2,14,15.32,5.8,2732,38248
三门峡,124683-2,253901-2,11,14.02,4.07,388,4268
三门峡,124683-2,47438-0,4,13.59,2.6,2140,8560
三门峡,124683-2,15297-130,4,17.32,4.71,62,248
三门峡,124683-2,15322-130,2,16.44,3.5,124,248
三门峡,124683-2,253813-2,1,15,2.69,110,110
三门峡,124684-0,273928-130,99,-0.81,4.15,614,60786
三门峡,124684-0,15334-129,98,-0.75,4.66,510,49980
三门峡,124684-0,259712-1,98,3.2,2.86,120,11760
三门峡,124684-0,124688-1,97,2.17,3.53,150,14550
三门峡,124684-0,124687-1,96,2.75,3.58,112,10752
三门峡,124684-0,124684-2,95,2.3,3.97,378,35910
三门峡,124684-0,273933-128,94,1.08,5.16,242,22748
三门峡,124684-0,124924-2,86,3.25,5.42,382,32852
三门峡,124684-0,259781-0,82,4.75,4.62,72,5904
三门峡,124684-0,15487-130,79,4.33,5.74,1964,155156
三门峡,124684-0,15484-128,78,4.46,5.89,130,10140
三门峡,124684-0,15486-128,75,5.98,4.47,220,16500
三门峡,124684-0,259627-0,74,7.08,3.01,52,3848
三门峡,124684-0,273934-130,71,6.2,5.17,120598,8562458
三门峡,124684-0,15485-130,65,6.82,5.73,2558,166270
三门峡,124684-0,7197-129,62,7.16,6.05,964,59768
三门峡,124684-0,259584-3,62,7.45,5.21,110,6820
三门峡,124684-0,15427-128,59,7.93,4.77,816,48144
三门峡,124684-0,124691-1,51,8.89,5.5,124,6324
三门峡,124684-0,273934-128,50,8.94,5.06,22515,1125750
三门峡,124684-0,253911-0,46,9.55,5.31,564,25944
三门峡,124684-0,259594-1,39,10.5,5.37,64,2496
三门峡,124684-0,124684-1,32,12.22,6.98,3840,122880
