ASSIGN_ID,EARFCN,SECTOR_ID,SECTOR_NAME,ENODEB_ID,PCI,PSS,SSS,LONGITUDE,LATITUDE,STYLE,OPT_DATETIME
10,38400,253892-0,三门峡义马电业局-HLHF-1,253892,157,1,52,111.86021,34.75091,宏站,2017/1/18 11:13
10,38400,253892-1,三门峡义马电业局-HLHF-2,253892,158,2,52,111.86021,34.75091,宏站,2017/1/18 11:13
10,38400,253892-2,三门峡义马电业局-HLHF-3,253892,156,0,52,111.86021,34.75091,宏站,2017/1/18 11:13
10,38400,253893-0,三门峡义马东海大酒店-HLHF-1,253893,160,1,53,111.83481,34.75433,宏站,2017/1/18 11:13
10,38400,253893-1,三门峡义马东海大酒店-HLHF-2,253893,159,0,53,111.83481,34.75433,宏站,2017/1/18 11:13
10,38400,253893-2,三门峡义马东海大酒店-HLHF-3,253893,161,2,53,111.83481,34.75433,宏站,2017/1/18 11:13
10,38400,253894-0,三门峡义马东马岭-HLHF-1,253894,263,2,87,111.84346,34.74831,宏站,2017/1/18 11:13
10,38400,253894-1,三门峡义马东马岭-HLHF-2,253894,261,0,87,111.84346,34.74831,宏站,2017/1/18 11:13
10,38400,253894-2,三门峡义马东马岭-HLHF-3,253894,262,1,87,111.84346,34.74831,宏站,2017/1/18 11:13
10,38400,253895-0,三门峡义马福聚德美化塔-HLHF-1,253895,240,0,80,111.85571,34.74782,宏站,2017/1/18 11:13
10,38400,253895-1,三门峡义马福聚德美化塔-HLHF-2,253895,241,1,80,111.85571,34.74782,宏站,2017/1/18 11:13
10,38400,253895-2,三门峡义马福聚德美化塔-HLHF-3,253895,242,2,80,111.85571,34.74782,宏站,2017/1/18 11:13
10,38400,253896-0,三门峡义马高速入口-HLHF-1,253896,246,0,82,111.87859,34.76929,宏站,2017/1/18 11:13
10,38400,253896-1,三门峡义马高速入口-HLHF-2,253896,247,1,82,111.87859,34.76929,宏站,2017/1/18 11:13
10,38400,253896-2,三门峡义马高速入口-HLHF-3,253896,248,2,82,111.87859,34.76929,宏站,2017/1/18 11:13
10,38400,253898-0,三门峡义马郭庄村委大队部-HLHF-1,253898,250,1,83,111.85466,34.76249,宏站,2017/1/18 11:13
10,38400,253898-1,三门峡义马郭庄村委大队部-HLHF-2,253898,251,2,83,111.85466,34.76249,宏站,2017/1/18 11:13
10,38400,253898-2,三门峡义马郭庄村委大队部-HLHF-3,253898,249,0,83,111.85466,34.76249,宏站,2017/1/18 11:13
10,38400,253899-0,三门峡义马洪庆公园-HLHF-1,253899,252,0,84,111.87167,34.75083,宏站,2017/1/18 11:13
10,38400,253899-1,三门峡义马洪庆公园-HLHF-2,253899,254,2,84,111.87167,34.75083,宏站,2017/1/18 11:13
10,38400,253899-2,三门峡义马洪庆公园-HLHF-3,253899,253,1,84,111.87167,34.75083,宏站,2017/1/18 11:13
10,38400,253900-0,三门峡义马鸿泰量贩-HLHF-1,253900,243,0,81,111.87379,34.74393,宏站,2017/1/18 11:13
10,38400,253900-1,三门峡义马鸿泰量贩-HLHF-2,253900,244,1,81,111.87379,34.74393,宏站,2017/1/18 11:13
10,38400,253900-2,三门峡义马鸿泰量贩-HLHF-3,253900,245,2,81,111.87379,34.74393,宏站,2017/1/18 11:13
10,38400,253901-0,三门峡义马华山路-HLHF-1,253901,264,0,88,111.83776,34.76428,宏站,2017/1/18 11:13
10,38400,253901-1,三门峡义马华山路-HLHF-2,253901,265,1,88,111.83776,34.76428,宏站,2017/1/18 11:13
10,38400,253901-2,三门峡义马华山路-HLHF-3,253901,266,2,88,111.83776,34.76428,宏站,2017/1/18 11:13
10,38400,253902-0,三门峡义马建材市场-HLHF-1,253902,268,1,89,111.85901,34.74961,宏站,2017/1/18 11:13
10,38400,253902-1,三门峡义马建材市场-HLHF-2,253902,269,2,89,111.85901,34.74961,宏站,2017/1/18 11:13
10,38400,253902-2,三门峡义马建材市场-HLHF-3,253902,267,0,89,111.85901,34.74961,宏站,2017/1/18 11:13
10,38400,253903-0,三门峡义马交警队-HLHF-1,253903,256,1,85,111.82901,34.75101,宏站,2017/1/18 11:13
10,38400,253903-1,三门峡义马交警队-HLHF-2,253903,257,2,85,111.82901,34.75101,宏站,2017/1/18 11:13
10,38400,253903-2,三门峡义马交警队-HLHF-3,253903,255,0,85,111.82901,34.75101,宏站,2017/1/18 11:13
10,38400,253904-0,三门峡义马锦江国际美化塔-HLHF-1,253904,259,1,86,111.84725,34.76009,宏站,2017/1/18 11:13
10,38400,253904-1,三门峡义马锦江国际美化塔-HLHF-2,253904,260,2,86,111.84725,34.76009,宏站,2017/1/18 11:13
10,38400,253904-2,三门峡义马锦江国际美化塔-HLHF-3,253904,258,0,86,111.84725,34.76009,宏站,2017/1/18 11:13
10,38400,253905-0,三门峡义马凯瑞彩钢厂-HLHF-1,253905,213,0,71,111.83417,34.75877,宏站,2017/1/18 11:13
10,38400,253905-1,三门峡义马凯瑞彩钢厂-HLHF-2,253905,214,1,71,111.83417,34.75877,宏站,2017/1/18 11:13
10,38400,253905-2,三门峡义马凯瑞彩钢厂-HLHF-3,253905,215,2,71,111.83417,34.75877,宏站,2017/1/18 11:13
10,38400,253906-0,三门峡义马狂口-HLHF-1,253906,218,2,72,111.85001,34.74851,宏站,2017/1/18 11:13
10,38400,253906-1,三门峡义马狂口-HLHF-2,253906,216,0,72,111.85001,34.74851,宏站,2017/1/18 11:13
10,38400,253906-2,三门峡义马狂口-HLHF-3,253906,217,1,72,111.85001,34.74851,宏站,2017/1/18 11:13
10,38400,253907-0,三门峡义马老局-HLHF-1,253907,211,1,70,111.86801,34.74581,宏站,2017/1/18 11:13
10,38400,253907-1,三门峡义马老局-HLHF-2,253907,212,2,70,111.86801,34.74581,宏站,2017/1/18 11:13
10,38400,253907-2,三门峡义马老局-HLHF-3,253907,210,0,70,111.86801,34.74581,宏站,2017/1/18 11:13
10,38400,253908-0,三门峡义马连银三区-HLHF-1,253908,205,1,68,111.87616,34.75941,宏站,2017/1/18 11:13
10,38400,253908-1,三门峡义马连银三区-HLHF-2,253908,206,2,68,111.87616,34.75941,宏站,2017/1/18 11:13
10,38400,253908-2,三门峡义马连银三区-HLHF-3,253908,204,0,68,111.87616,34.75941,宏站,2017/1/18 11:13
10,38400,253909-0,三门峡义马连银小区-HLHF-1,253909,209,2,69,111.87301,34.75561,宏站,2017/1/18 11:13
10,38400,253909-1,三门峡义马连银小区-HLHF-2,253909,208,1,69,111.87301,34.75561,宏站,2017/1/18 11:13
10,38400,253909-2,三门峡义马连银小区-HLHF-3,253909,207,0,69,111.87301,34.75561,宏站,2017/1/18 11:13
10,38400,253910-0,三门峡义马梁沟-HLHF-1,253910,219,0,73,111.87781,34.76322,宏站,2017/1/18 11:13
10,38400,253910-1,三门峡义马梁沟-HLHF-2,253910,220,1,73,111.87781,34.76322,宏站,2017/1/18 11:13
10,38400,253910-2,三门峡义马梁沟-HLHF-3,253910,221,2,73,111.87781,34.76322,宏站,2017/1/18 11:13
10,38400,253911-0,三门峡义马梁沟社区-HLHF-1,253911,236,2,78,111.87188,34.76667,宏站,2017/1/18 11:13
10,38400,253911-1,三门峡义马梁沟社区-HLHF-2,253911,235,1,78,111.87188,34.76667,宏站,2017/1/18 11:13
10,38400,253911-2,三门峡义马梁沟社区-HLHF-3,253911,234,0,78,111.87188,34.76667,宏站,2017/1/18 11:13
10,38400,253912-0,三门峡义马龙山街-HLHF-1,253912,238,1,79,111.86216,34.74944,宏站,2017/1/18 11:13
10,38400,253912-1,三门峡义马龙山街-HLHF-2,253912,239,2,79,111.86216,34.74944,宏站,2017/1/18 11:13
10,38400,253912-2,三门峡义马龙山街-HLHF-3,253912,237,0,79,111.86216,34.74944,宏站,2017/1/18 11:13
10,38400,253913-0,三门峡义马裴村-HLHF-1,253913,229,1,76,111.86454,34.74302,宏站,2017/1/18 11:13
10,38400,253913-1,三门峡义马裴村-HLHF-2,253913,228,0,76,111.86454,34.74302,宏站,2017/1/18 11:13
10,38400,253913-2,三门峡义马裴村-HLHF-3,253913,230,2,76,111.86454,34.74302,宏站,2017/1/18 11:13
10,38400,253914-0,三门峡义马棚户区-HLHF-1,253914,222,0,74,111.87101,34.75731,宏站,2017/1/18 11:13
10,38400,253914-1,三门峡义马棚户区-HLHF-2,253914,224,2,74,111.87101,34.75731,宏站,2017/1/18 11:13
